,years,data,hindcast
0,1981,276.288,277.15800247300297
1,1983,279.392,279.8308826282099
2,1985,270.812,273.64020578024673
3,1986,275.801,274.031129233562
4,1989,278.043,275.00473211834463
5,1990,278.845,278.77115519255796
6,1991,276.5,276.2402509217443
7,1992,276.297,276.26851006089066
8,1994,278.452,278.6934926637242
9,1996,273.074,275.4958505259764
10,1997,272.26,274.7955786620411
11,2000,277.795,278.84281176072193
12,2002,277.709,275.65411951657137
13,2005,278.562,278.37823566229787
14,2006,274.907,275.6395249675719
15,2008,279.489,277.3981428399029
16,2009,274.322,273.54591104167423
17,2011,276.64,277.5314986202949
18,2015,277.328,276.9411824597204
19,2018,278.531,277.1857828709445
20,1980,273.943,275.3026986067616
21,1982,274.72,277.20461082248653
22,1984,276.784,278.01916896994453
23,1987,271.057,273.66835071218213
24,1988,279.107,277.07776844196314
25,1993,278.069,274.69395745111024
26,1995,277.265,276.9005992999927
27,1998,277.962,279.229956291285
28,1999,278.422,277.07852946248363
29,2001,275.967,275.3829534607051
30,2003,276.099,275.6996890932583
31,2004,277.014,277.08226053044507
32,2007,280.328,279.10447578181873
33,2010,273.085,274.58540184549423
34,2012,278.003,278.9445922398668
35,2013,275.183,275.7533547040401
36,2014,278.727,277.79735223643917
37,2016,278.048,275.5061210389571
38,2017,275.05,275.4935690500424
39,2019,276.946,277.2535899607222
