,years,data,hindcast
0,1980,107.769,95.71178760107674
1,1981,150.743,102.87548149087564
2,1984,95.183,85.66038767154217
3,1985,36.531,50.958088026255744
4,1986,94.807,105.24253837211472
5,1987,102.308,113.27805187920136
6,1989,78.906,65.08792489903577
7,1990,70.054,78.65636985272744
8,1991,48.361,62.29846079824076
9,1993,80.441,97.71845060987589
10,1994,97.19,99.57034177397688
11,1995,18.716,43.14677674213016
12,1996,73.76,105.68372979594174
13,1997,81.025,107.45986093605072
14,2000,130.409,92.04565963036352
15,2002,87.438,89.74386172090023
16,2004,55.873,88.66123707081078
17,2007,38.236,25.423652528680364
18,2008,92.717,78.28928890714576
19,2013,135.237,88.19204969305392
20,1982,104.269,86.02519419366153
21,1983,59.157,64.26844124096132
22,1988,79.42,99.81648384306673
23,1992,99.88,72.08814955513785
24,1998,178.649,116.7696896245819
25,1999,65.748,83.36098050662947
26,2001,73.237,100.5522485134192
27,2003,74.576,72.626334722349
28,2005,58.746,73.24694430103499
29,2006,104.882,98.64345744219048
30,2009,74.388,77.3587302503759
31,2010,76.197,93.19585317099217
32,2011,69.306,107.09214693681182
33,2012,131.109,104.7734971674654
34,2014,79.961,66.67784645583333
35,2015,34.891,37.405838217083144
36,2016,57.946,89.89833437288507
37,2017,63.675,65.9752173969789
38,2018,34.768,67.02499668489449
39,2019,119.963,63.96761540364712
