,pc1
0,8.551597202773513
1,-18.67586831731628
2,10.355113781349111
3,7.918135318560475
4,-6.999308939976558
5,-16.362974255458475
6,-12.030221317118217
7,-0.06900315137126559
8,-0.8881509099735738
9,-2.006569471040682
10,-3.6368352542012117
11,6.754136145751883
12,-1.4668836037336168
13,3.2383348421053806
14,2.4765680323867287
15,-0.4447695914327788
16,4.080124515237147
17,14.870293301585047
18,-6.240002925911618
19,10.576308676772385
20,-1.1358203041703978
21,16.423277613779618
22,46.34548371865548
23,-22.961815094817375
24,15.102439247159282
25,32.14142472852532
26,-27.75946549486535
27,-52.59874367467192
28,18.2407635594339
29,-3.170410409865614
30,-31.04638925989518
31,3.53112831327194
32,32.86273503426405
33,-66.15160600064206
34,-0.863283669864086
35,-2.5994446536315303
36,65.05627097657616
37,-3.5455363763553533
38,-10.076196185818839
39,-7.794759407162571
