,years,data,hindcast
0,1981,63.801,38.81829052613736
1,1985,100.249,100.94178676457705
2,1986,125.43,112.45912609983733
3,1988,61.158,80.78044080951152
4,1989,99.994,94.8535359247696
5,1990,71.359,90.49794443003415
6,1991,44.356,57.22212066144391
7,1992,59.721,78.2347721780891
8,1993,142.547,101.50093634959664
9,1994,112.219,106.60924539090018
10,1995,40.513,36.00533213086234
11,1997,77.391,78.12994722595543
12,1999,142.156,100.14726078715196
13,2001,73.461,70.45564221323971
14,2002,93.864,123.41607132373375
15,2003,90.195,83.34907658958626
16,2004,54.078,48.67227626873328
17,2007,75.825,72.77036053592381
18,2008,32.104,46.11103837524062
19,2010,51.992,79.92913548000499
20,2018,89.451,100.95965993467108
21,1980,73.573,59.1702746513995
22,1982,83.43,85.99939910273088
23,1983,63.898,58.097919533296604
24,1984,57.754,55.49177183910635
25,1987,47.004,74.4163571019914
26,1996,45.022,68.79523067493665
27,1998,78.078,52.55753481338478
28,2000,86.35,94.45353554308547
29,2005,50.89,52.61641875444417
30,2006,99.225,72.92364523476472
31,2009,98.371,81.4566179543608
32,2011,135.773,122.5362824617057
33,2012,126.017,97.12996691889494
34,2013,74.252,91.71916641352796
35,2014,89.714,73.78255139817469
36,2015,54.183,83.80028698284798
37,2016,19.912,38.85145483045846
38,2017,122.767,100.27687615944814
39,2019,84.951,107.3155013365819
40,2020,109.639,103.19343781712075
41,2021,69.243,95.46177047773793
