,years,data,hindcast
0,1980,70.785,81.32488897780473
1,1981,133.083,92.75390808375383
2,1982,72.01,68.47062293017113
3,1983,81.02,53.70696969833377
4,1984,62.897,62.814839473206526
5,1985,66.121,76.28720363842761
6,1986,80.055,65.41379283854961
7,1988,114.519,108.1581985064989
8,1992,89.11,78.3919573678892
9,1993,13.215,28.01890219550866
10,1996,22.462,23.732751065326923
11,1999,87.335,75.99021962480074
12,2001,86.263,122.38338271801011
13,2003,22.165,45.48479914180386
14,2005,63.614,65.33338071146154
15,2006,63.245,68.4153150950805
16,2009,55.879,78.0704228693842
17,2012,29.574,29.614379474885013
18,2018,81.364,85.72457511050746
19,2019,101.839,86.46449047859551
20,1987,77.728,90.55656152429972
21,1989,101.191,82.05367144398474
22,1990,25.981,64.26711505381944
23,1991,29.05,45.6576441269576
24,1994,94.185,75.9893180791362
25,1995,94.794,78.07039171460845
26,1997,28.956,24.928734599101134
27,1998,89.451,99.14489968654884
28,2000,60.097,67.19525739527836
29,2002,40.985,54.536223213203016
30,2004,47.676,37.915695126655024
31,2007,65.31,72.6120523853834
32,2008,110.582,72.19456735961252
33,2010,56.222,65.66349156734897
34,2011,20.289,27.607139709255065
35,2013,46.14,62.63200077829473
36,2014,34.11,33.12520904948475
37,2015,61.79,44.043062181005965
38,2016,69.496,68.94182669246615
39,2017,58.125,45.023138313556125
