,years,data,hindcast
0,1980,282.943,283.22164146897194
1,1981,282.369,283.188114397076
2,1984,284.946,284.08965802964167
3,1985,283.884,283.3925679698587
4,1986,284.738,284.2986270741583
5,1987,284.108,283.00186714303027
6,1989,285.643,284.7251050579335
7,1990,285.161,284.8653961585151
8,1991,283.647,283.65163064836105
9,1993,282.413,283.11252115017044
10,1994,282.913,284.34909596339827
11,1995,286.166,284.7847851623721
12,1996,284.354,284.46862668875406
13,1997,283.261,283.53284698991126
14,2000,284.65,284.7251005970905
15,2002,283.045,282.91343688476434
16,2004,284.575,284.11396981786197
17,2007,283.55,284.6620521928978
18,2008,283.493,284.8118870147743
19,2013,285.349,285.2990695904587
20,1982,284.418,283.6228520467034
21,1983,284.197,283.70130013705494
22,1988,284.252,283.685602585815
23,1992,281.561,281.75629949833535
24,1998,283.242,285.7156818899504
25,1999,284.089,285.46087875285576
26,2001,287.358,285.9305887192327
27,2003,281.324,283.7518734217774
28,2005,286.611,285.55804629192767
29,2006,286.908,285.709128514938
30,2009,284.115,283.957174230688
31,2010,284.007,285.42312818410306
32,2011,284.836,285.14648799317763
33,2012,283.751,284.83907788799337
34,2014,286.638,284.9493081898349
35,2015,283.443,283.45215552342853
36,2016,283.35,284.48740990528415
37,2017,286.493,285.5113419989409
38,2018,285.394,284.10670358552807
39,2019,284.784,284.0059606424312
