,pc1
0,-1.4534867465917758
1,-3.933577610231799
2,2.241292615722974
3,-11.286251749347255
4,-6.2387946967654955
5,-6.050426000784738
6,1.7098102966211561
7,-2.665021214833427
8,-7.667307273286788
9,-0.0643501388348399
10,9.567940142650976
11,3.8135791571410063
12,0.45724449232286374
13,4.631618227816097
14,-2.642273960100271
15,3.7264180584565665
16,1.6029662588098128
17,2.59098147511872
18,1.7325788629803807
19,9.927549866821868
20,2.465892125472864
21,6.806334645877949
22,2.597433178914408
23,-1.6116910695800504
24,-2.64026626697434
25,-3.320297242101394
26,1.9713315333439811
27,-1.4268875130507195
28,1.4769037805990468
29,2.1108916632200536
30,-1.719161743233691
31,0.8509657793059733
32,-2.0954758873009127
33,0.4551419025621146
34,-1.6857014845009224
35,2.1676300764509056
36,-3.337653958046431
37,-0.49500275301777297
38,-0.7563854530239246
39,-1.8141977436830763
