,pc1
0,-4.223603856150037
1,-8.846238235811414
2,-6.351105297472837
3,2.0569737123705667
4,1.1250268965186345
5,1.6469787132863152
6,4.973600817018645
7,-0.28039938620732885
8,-5.156134233406063
9,2.828153818903422
10,-0.9645775925048047
11,-2.3921497243548613
12,-0.14450261421071492
13,6.808472708954498
14,3.7751459805050085
15,-0.4924407177454629
16,4.237643949986999
17,-2.2381658018056565
18,1.7714857876194754
19,1.8659721280881119
20,6.96327660753491
21,13.369873913815326
22,-24.103574856491115
23,19.358414876640218
24,3.7203209693714685
25,-9.082857318647765
26,-1.7917074430567672
27,23.429856072167357
28,-42.70847663307093
29,8.003392375935116
30,15.421372198689372
31,-3.0112513119674627
32,-8.787382684058333
33,-0.5707772070269431
34,8.030719670207805
35,9.808454543256541
36,-2.1538002449797378
37,-24.29766431574561
38,8.135678551049297
39,0.2662027135920656
