,years,data,hindcast
0,1980,87.79,106.71893490708999
1,1981,69.787,56.517288591720714
2,1984,54.762,37.02706528652317
3,1985,126.504,92.82202202256647
4,1987,96.289,104.62261239588396
5,1988,31.234,62.706620089337925
6,1989,67.167,76.32708381754196
7,1990,81.754,68.48191409499698
8,1991,100.819,80.91409323223796
9,1993,49.037,67.63901690536649
10,1995,64.76,83.91152849738833
11,1996,28.135,36.63491277255349
12,1998,136.999,119.25574255233971
13,2004,70.647,89.2980896279019
14,2008,40.784,56.60497448843627
15,2010,33.738,41.27260959523902
16,2011,94.747,72.63099803837703
17,2013,63.597,43.75356459365598
18,2018,26.89,66.80302619949147
19,2019,106.981,68.47890229135147
20,1982,93.726,64.09416227682978
21,1983,40.005,61.79159324801223
22,1986,56.932,51.61366748987265
23,1992,52.1,72.75138512009242
24,1994,51.526,56.560432415437035
25,1997,112.482,66.8806784084959
26,1999,86.734,69.17398537562609
27,2000,55.016,70.27848552087066
28,2001,56.749,76.31143930056497
29,2002,77.791,85.99479994789274
30,2003,47.241,55.5888295298922
31,2005,55.748,71.7246970618015
32,2006,34.652,62.56879402784295
33,2007,100.404,75.92524328863213
34,2009,75.436,63.68038626934753
35,2012,122.004,107.96527577433869
36,2014,53.205,86.83874958007539
37,2015,35.568,53.89766132047601
38,2016,113.147,67.13312940422892
39,2017,63.719,63.41160463967018
