,pc1,target,phase_label
0,-216.75639639843428,277.92,1
1,1570.069935606612,274.878,1
2,609.3355578237898,274.108,1
3,532.2269367428115,275.466,1
4,455.9547410028689,272.646,1
5,1187.315394504276,269.837,1
6,-762.4748975305622,278.597,1
7,84.51846451468674,278.027,1
8,512.8490709889206,273.615,1
9,129.02335357685436,278.932,1
10,-900.8234223863655,278.992,1
11,-150.33923055248584,277.989,1
12,-29.844221316768976,275.683,1
13,419.6410335133374,275.991,1
14,-956.095219452235,278.257,1
15,-690.7808624067703,276.289,1
16,-445.7790068435594,277.556,1
17,-86.30805884911662,273.954,1
18,-1106.267889137478,277.869,1
19,-155.45310011395716,279.191,1
0,-612.6339747660261,276.033,2
1,-253.4866005073598,275.306,2
2,325.90858048950963,277.77,2
3,474.7926371115105,280.507,2
4,-173.75467791143802,272.82,2
5,460.84423705556634,276.052,2
6,-258.1232081899951,274.72,2
7,69.57041846135928,279.698,2
8,22.687134499147994,279.234,2
9,-17.152399832203244,276.585,2
10,79.67851542537099,277.524,2
11,145.23514773530312,280.012,2
12,-188.72362960936704,275.199,2
13,705.3684993249083,279.131,2
14,-792.6058694494097,274.59,2
15,-422.2560409742304,274.828,2
16,153.9800655429813,279.408,2
17,-261.354916983225,276.667,2
18,764.1344148109999,277.781,2
19,-222.10751725957363,274.074,2
