,pc1
0,-216.75639639843428
1,1570.069935606612
2,609.3355578237898
3,532.2269367428115
4,455.9547410028689
5,1187.315394504276
6,-762.4748975305622
7,84.51846451468674
8,512.8490709889206
9,129.02335357685436
10,-900.8234223863655
11,-150.33923055248584
12,-29.844221316768976
13,419.6410335133374
14,-956.095219452235
15,-690.7808624067703
16,-445.7790068435594
17,-86.30805884911662
18,-1106.267889137478
19,-155.45310011395716
20,-612.6339747660261
21,-253.4866005073598
22,325.90858048950963
23,474.7926371115105
24,-173.75467791143802
25,460.84423705556634
26,-258.1232081899951
27,69.57041846135928
28,22.687134499147994
29,-17.152399832203244
30,79.67851542537099
31,145.23514773530312
32,-188.72362960936704
33,705.3684993249083
34,-792.6058694494097
35,-422.2560409742304
36,153.9800655429813
37,-261.354916983225
38,764.1344148109999
39,-222.10751725957363
