,years,data,hindcast
0,1980,288.542,288.27172669808
1,1981,288.252,287.2620044674942
2,1982,288.852,288.363020288721
3,1983,287.357,288.1477725005786
4,1984,286.735,286.50487555074557
5,1986,284.947,285.5644692054173
6,1987,287.798,287.6744078585543
7,1989,288.678,287.3233046540769
8,1990,286.559,287.0830695671905
9,1991,288.298,288.2873377620243
10,1993,286.379,287.837169781963
11,1995,287.466,288.6379997160041
12,1996,286.063,287.55193173779355
13,1997,287.549,287.9328574684169
14,1999,290.397,289.01780219046276
15,2000,288.952,287.40488844807857
16,2002,288.122,289.0336495140324
17,2004,288.368,287.51151699240285
18,2006,290.885,289.20140529809237
19,2007,287.305,288.892790299872
20,1985,287.425,286.908405930154
21,1988,287.103,287.3445602680004
22,1992,287.579,286.93083045277535
23,1994,286.749,287.1001513761196
24,1998,288.047,288.25191804792576
25,2001,286.703,287.596751400022
26,2003,287.965,288.161352493229
27,2005,289.039,288.3602487672943
28,2008,286.909,287.4986013389766
29,2009,288.244,287.0160856370838
30,2010,286.854,288.209538921295
31,2011,288.688,287.520882212621
32,2012,287.323,287.89120530717895
33,2013,287.608,288.2517208835245
34,2014,289.191,288.1745283561088
35,2015,286.663,287.13424339471413
36,2016,290.729,289.5129056508902
37,2017,287.154,288.27189233456306
38,2018,288.213,288.143124789749
39,2019,287.939,287.8460524377744
