,years,data,hindcast
0,1980,72.959,63.52900667379112
1,1981,79.103,80.2425992957135
2,1984,78.441,97.60960690724207
3,1985,73.801,87.53875328045693
4,1986,84.644,92.44198700884529
5,1988,43.995,54.76560488308023
6,1989,36.577,73.59232788262659
7,1990,88.055,73.82490924633018
8,1991,121.381,84.62375080475668
9,1992,114.02,79.61663465027112
10,1993,62.847,75.26664995909735
11,1994,50.598,78.78336290353376
12,1995,32.26,50.386903733464536
13,1996,130.482,106.32822035019552
14,1997,56.974,70.3668970765576
15,2002,88.661,79.29317356088195
16,2003,56.468,68.7167242603338
17,2004,66.664,71.35453011856711
18,2007,63.658,47.29321602040315
19,2008,87.04,53.053141383851155
20,1982,70.765,107.78069194756868
21,1983,59.341,80.47830918562317
22,1987,110.221,114.98342727454045
23,1998,92.019,53.412832927979
24,1999,52.177,63.63009847875314
25,2000,131.48,105.95325298846656
26,2001,85.69,68.41992828346793
27,2005,66.791,75.25427597140457
28,2006,79.284,70.09253198657746
29,2009,119.023,108.90616339666235
30,2010,80.795,64.83144958630186
31,2011,17.077,47.70413178209205
32,2012,62.3,57.257035488738566
33,2013,95.385,92.13801559698
34,2014,64.116,77.52406954135735
35,2015,119.425,98.80896941243108
36,2016,75.849,76.63174605565666
37,2017,71.566,59.547625654183534
38,2018,34.97,57.13033332826663
39,2019,74.313,82.10211111294942
