,pc1
0,332.92093804184435
1,127.53236290875137
2,419.2589782008252
3,-429.07122744904336
4,224.44716558284213
5,155.8044039132584
6,115.70950363912085
7,-16.974005876592514
8,-175.0722062146007
9,-50.56097611548674
10,523.1072725022615
11,-179.4895071116012
12,-435.89994018123014
13,-149.49484164173043
14,-64.32357033365632
15,65.02381851767474
16,116.42117268611163
17,-440.77627281089923
18,-162.87675884065948
19,24.31431531594598
20,-126.80431781936629
21,234.7280167917171
22,-208.29549098016514
23,-209.9158282725397
24,-102.72403853813614
25,14.27968047532005
26,167.60808878445854
27,-933.9997215313497
28,-59.0985699699241
29,-9.306989254338049
30,250.00482764162768
31,159.54379929388503
32,349.46881035486626
33,-108.79132969851958
34,-273.91457324345254
35,337.91961524176827
36,255.05496020429914
37,704.4623714125777
38,-140.5296946924242
39,-299.69114719854934
