,years,data,hindcast
0,1981,69.787,69.60866568701668
1,1984,54.762,71.61308074958481
2,1985,126.504,115.36389663751791
3,1988,31.234,65.69522062183539
4,1989,67.167,77.98362706521364
5,1996,28.135,29.16776739875712
6,1999,86.734,55.4487631998169
7,2000,55.016,55.144205262998696
8,2001,56.749,63.03887256830387
9,2003,47.241,81.57907531388514
10,2004,70.647,71.43038155469225
11,2006,34.652,49.673521184111365
12,2007,100.404,57.39866784764674
13,2008,40.784,53.809944994833074
14,2009,75.436,91.55034777124311
15,2011,94.747,68.48478222211114
16,2012,122.004,87.45668251995963
17,2013,63.597,49.617464456567774
18,2014,53.205,47.6550322360839
19,2018,26.89,43.97500070782105
20,1980,87.79,94.64166863536273
21,1982,93.726,85.31325213356656
22,1983,40.005,54.52634438931889
23,1986,56.932,55.84892751029105
24,1987,96.289,85.98186987040681
25,1990,81.754,84.07143358211417
26,1991,100.819,88.58516354214034
27,1992,52.1,32.67570985976823
28,1993,49.037,51.93600438768084
29,1994,51.526,77.35189708142696
30,1995,64.76,82.74944146679148
31,1997,112.482,89.81245027808394
32,1998,136.999,118.58532973019129
33,2002,77.791,63.83054145429382
34,2005,55.748,44.34288614235088
35,2010,33.738,49.438225312254815
36,2015,35.568,76.51736128625564
37,2016,113.147,120.6905825615807
38,2017,63.719,80.79242736580001
39,2019,106.981,73.21948341032089
