,years,data,hindcast
0,1982,288.824,288.9505003151664
1,1984,286.033,286.97043223993296
2,1985,286.165,286.5746216980429
3,1986,288.436,288.2927894496322
4,1989,288.071,287.3996788055319
5,1996,287.712,288.2137153349556
6,1999,287.621,286.8997666746369
7,2000,288.429,288.18855638013144
8,2001,287.617,288.62953971273186
9,2002,289.009,288.4229501749595
10,2004,288.265,288.70901311045515
11,2006,288.786,288.83648230757524
12,2007,289.67,289.0399903183705
13,2008,288.751,287.4816287604961
14,2009,288.158,288.15268029649854
15,2011,288.613,289.12069083350303
16,2012,287.481,287.6838397253609
17,2013,287.47,288.55516464470907
18,2017,290.512,289.77506187247343
19,2018,289.498,289.22389734483556
20,1980,287.384,287.2621865581925
21,1981,286.963,288.192299454386
22,1983,288.432,288.5143326145703
23,1987,286.231,287.52454346403965
24,1988,287.197,287.6014768203303
25,1990,287.653,288.00518296715774
26,1991,285.445,286.8357549533298
27,1992,289.512,289.5039902195862
28,1993,288.312,288.9427879757177
29,1994,287.733,287.928446148562
30,1995,287.092,288.46935127579775
31,1997,288.236,288.77901199387657
32,1998,288.371,287.1996998175261
33,2003,290.192,288.2089108880075
34,2005,288.992,288.88781816754147
35,2010,288.57,287.08049363107904
36,2014,288.605,288.3766928758652
37,2015,288.026,287.5927745143591
38,2016,289.06,288.5322435904053
39,2019,290.286,288.85400206966904
