,pc1
0,20.770821619073978
1,23.955598263364113
2,3.438553622039354
3,13.183197464846254
4,-13.982822621210286
5,17.979614333711346
6,5.49545741113492
7,0.37932859842029765
8,-17.16906137830789
9,13.3667100063982
10,2.1174642216649158
11,-14.18600812911403
12,5.229045981912851
13,1.4828102453465655
14,-6.3168171347770805
15,-25.19306114134511
16,-0.9711477745214347
17,-16.388691219775346
18,11.936258636472665
19,-25.126525656916158
20,-5.170176182530969
21,22.21545493995491
22,-7.815285736739217
23,-7.101832654884187
24,0.9326205825340481
25,-1.0607992593227291
26,18.999025805348317
27,9.74926400562559
28,-6.045689059501489
29,-13.181732144281927
30,0.3126899550418088
31,-18.6546187896801
32,7.028458193683038
33,23.515107156871164
34,-2.668723931727273
35,-8.504972998787629
36,-9.391879425286133
37,0.4117249293701643
38,-3.917568989594458
39,0.34987784321469206
