,years,data,hindcast
0,1981,289.6,289.6612570422925
1,1984,290.615,290.17885332935475
2,1985,288.736,289.2362977486303
3,1988,289.369,289.27251395510973
4,1989,290.066,289.86915846223803
5,1995,292.137,290.8980004624166
6,1996,290.269,290.08803455135217
7,1998,289.453,289.64605783162585
8,1999,290.354,289.80002476903263
9,2000,290.298,290.03645270862194
10,2001,291.262,291.3135825265489
11,2005,289.14,290.45384042618076
12,2007,290.037,290.5618272056854
13,2008,290.27,289.89432056432946
14,2010,289.717,289.6897560734416
15,2011,289.628,289.8464426806173
16,2013,290.902,290.75925080153837
17,2016,290.919,291.2483998550656
18,2017,290.324,290.84323056258324
19,2018,291.362,291.16069844333333
20,1980,289.857,289.78929133132056
21,1982,290.118,289.85118891721817
22,1983,290.769,289.73823844544813
23,1986,288.362,289.2541508362293
24,1987,288.999,289.5729481317895
25,1990,291.142,290.15006567834
26,1991,290.621,290.47494408279374
27,1992,290.536,289.7784968118833
28,1993,288.381,288.9961276772359
29,1994,290.51,289.9921704552829
30,1997,293.223,291.7990046534953
31,2002,291.529,291.3889629190473
32,2003,291.843,291.1614197204153
33,2004,291.539,291.6137741862765
34,2006,289.426,290.3331991651256
35,2009,291.493,291.73346973912953
36,2012,291.173,290.8790627261186
37,2014,289.208,290.9024087488023
38,2015,291.252,292.0762693719072
39,2019,291.474,291.9698064021401
