,pc1
0,0.7477900911267747
1,0.09231621348558283
2,0.01878457738288053
3,-3.2598156353486933
4,1.3541116237610156
5,2.7308047330822895
6,-2.1212569314187357
7,-0.8193814170475477
8,-1.8237656912259608
9,0.2944536468234914
10,1.9281653239447283
11,-0.017883102551827082
12,-2.4624298000733535
13,-0.9902841650724188
14,2.8871372748619595
15,-0.5868612366123822
16,-2.377121315645546
17,-2.3795572677207093
18,3.8155532693426615
19,2.969330038950025
20,2.589832030117401
21,-0.681752864061821
22,-1.6589922681898257
23,-1.7999490233829696
24,2.9660818215076707
25,-0.556144103309891
26,-0.3695480970593906
27,-0.9936086768543086
28,0.7282250107198575
29,-3.6876583087874355
30,0.8049530664135461
31,-1.0562612795767863
32,1.5312000961342678
33,0.004225353331933884
34,5.604425725039211
35,-1.7931544287817858
36,-3.3716133950964746
37,0.505051262089692
38,1.379679837641215
39,-0.1452254584708258
