,pc1
0,-281.93162795247804
1,129.13528653120684
2,-343.25951722977265
3,-646.0219320145011
4,-1273.7280658048069
5,951.1815000449642
6,-712.3136673289185
7,1182.6269659504717
8,-239.48994622282277
9,928.8607437567546
10,-130.32992186901276
11,896.7952098784209
12,-684.4933503661858
13,635.971885919301
14,-753.7415468994651
15,291.9748600093102
16,-436.9695725071566
17,561.8714670338248
18,677.2114849860535
19,-753.3482087863139
20,-654.2438132741748
21,-719.163093517916
22,-380.50260550190575
23,-633.0308870664895
24,1725.6722918478458
25,-160.52473602491597
26,193.22676769030437
27,-202.18568068253654
28,316.4001204842489
29,173.57564859487454
30,325.62193878691016
31,289.89049754531595
32,-412.7516465430072
33,-403.66341046817183
34,454.13585673489325
35,-197.30848757727043
36,-499.66825157296387
37,706.941610980099
38,-157.22008975327574
39,234.8012432401529
