,years,data,hindcast
0,1984,286.033,286.47151402058915
1,1985,286.165,286.96993782400915
2,1986,288.436,287.9989450033342
3,1988,287.197,288.2762375690939
4,1989,288.071,287.63309628448457
5,1996,287.712,287.8584225998365
6,1999,287.621,288.1208374335102
7,2000,288.429,288.0118644442639
8,2001,287.617,288.0857836307935
9,2002,289.009,288.6087745075497
10,2003,290.192,289.2414160923029
11,2004,288.265,287.785881975867
12,2006,288.786,288.24352146601404
13,2007,289.67,289.11166626531957
14,2008,288.751,287.40839588623504
15,2009,288.158,288.9268823648909
16,2011,288.613,289.188990867202
17,2012,287.481,287.36700134806176
18,2013,287.47,287.9494731291567
19,2018,289.498,289.9153572874838
20,1980,287.384,287.56485585822713
21,1981,286.963,287.3761236443612
22,1982,288.824,287.6227472597476
23,1983,288.432,288.5175482761318
24,1987,286.231,287.87110696981654
25,1990,287.653,287.79192964148143
26,1991,285.445,287.44276775860175
27,1992,289.512,287.8916163779546
28,1993,288.312,287.8496273966693
29,1994,287.733,287.8124726721801
30,1995,287.092,287.5626701318021
31,1997,288.236,287.252157060489
32,1998,288.371,289.64389827000383
33,2005,288.992,288.33995413180514
34,2010,288.57,289.1132173072217
35,2014,288.605,288.3911172724608
36,2015,288.026,288.27918442330946
37,2016,289.06,289.5725666495196
38,2017,290.512,289.07633570383217
39,2019,290.286,289.2671031943844
