,pc1,target,phase_label,year_glvar
0,112.42528645335129,150.743,1,1981
1,30.642069150572393,59.157,1,1983
2,-104.39277903232994,95.183,1,1984
3,-274.6908635769886,36.531,1,1985
4,-13.068048612262217,79.42,1,1988
5,-63.3915871247286,78.906,1,1989
6,-32.92410729218445,18.716,1,1995
7,-93.63115888516842,73.76,1,1996
8,182.8309158385107,178.649,1,1998
9,-20.885085846549142,65.748,1,1999
10,-50.750720306876794,130.409,1,2000
11,-91.97726487675516,38.236,1,2007
12,-39.11241789823761,92.717,1,2008
13,-112.37889144917688,76.197,1,2010
14,117.20390990978277,69.306,1,2011
15,152.1922369567785,131.109,1,2012
16,91.07452695328585,135.237,1,2013
17,-19.235815922847692,57.946,1,2016
18,50.45617728215231,63.675,1,2017
19,141.64311755798244,137.807,1,2020
20,37.97732303376278,138.243,1,2021
0,161.79838295792564,107.769,2,1980
1,160.97359612915395,104.269,2,1982
2,178.01048721158253,94.807,2,1986
3,212.3080170010731,102.308,2,1987
4,-33.79318250740869,70.054,2,1990
5,27.191118961247177,48.361,2,1991
6,-102.0671481658392,99.88,2,1992
7,73.3924473142129,80.441,2,1993
8,155.35491918413862,97.19,2,1994
9,231.55326427259334,81.025,2,1997
10,-78.2684723249601,73.237,2,2001
11,-144.1524482328396,87.438,2,2002
12,-261.0819318439879,74.576,2,2003
13,-98.24536099782145,55.873,2,2004
14,-77.37730988139478,58.746,2,2005
15,226.28333589231386,104.882,2,2006
16,-36.477120534855246,74.388,2,2009
17,-61.55506297961253,79.961,2,2014
18,-258.12347676976384,34.891,2,2015
19,-338.22924347280434,34.768,2,2018
20,62.499421609903884,119.963,2,2019
