,pc1,target,phase_label
0,-644.6729005962839,289.6,1
1,-530.6162574280852,290.615,1
2,-1103.2454906703717,288.736,1
3,-1125.0544418937989,289.369,1
4,-608.9093122980626,290.066,1
5,-632.004342667188,290.269,1
6,-551.3119599675905,290.354,1
7,-478.9915085546289,290.298,1
8,-507.9315090838227,291.262,1
9,-149.79405916610528,291.843,1
10,-278.7240306616733,291.539,1
11,-473.49165338658355,289.426,1
12,-624.6057995765324,290.037,1
13,-672.6477621715542,290.27,1
14,-442.3795660978441,289.717,1
15,-1053.7403806045447,289.628,1
16,-205.69326070587937,291.173,1
17,-280.18990888231,290.902,1
18,-352.3476188258969,290.324,1
19,-144.18099835527568,291.362,1
0,109.67551903409922,289.857,2
1,255.8501860753596,290.118,2
2,108.70852083324907,290.769,2
3,229.422949098881,288.362,2
4,111.14074131834896,288.999,2
5,21.250581776823086,291.142,2
6,43.12415475584993,290.621,2
7,40.5022730994176,290.536,2
8,237.28008458939394,288.381,2
9,-96.14813753364653,290.51,2
10,34.462754951001166,292.137,2
11,98.96632021665332,293.223,2
12,41.62690565161905,289.453,2
13,-104.09112577060333,291.529,2
14,138.07163617934884,289.14,2
15,74.94287975620705,291.493,2
16,125.50241544632453,289.208,2
17,-74.7264429291929,291.252,2
18,-130.60960393953587,290.919,2
19,-24.497552034232505,291.474,2
