,years,data,hindcast
0,1980,277.407,276.21866472284773
1,1981,273.282,275.6584904657612
2,1983,277.486,277.0244594363264
3,1984,277.972,278.5079991893311
4,1985,278.899,277.09481679181863
5,1988,280.158,277.6449312702978
6,1990,277.581,275.0738802002072
7,1995,272.852,275.8240661117501
8,1996,274.079,276.3593056770636
9,1997,278.332,276.7497770593172
10,1998,277.971,277.5914594918651
11,2000,278.433,277.7322578810922
12,2002,276.113,276.45808125851966
13,2005,277.678,278.3064814612315
14,2008,276.001,277.6458738848054
15,2009,275.915,276.21423947973506
16,2010,272.735,273.57160203869563
17,2012,278.178,278.004915260844
18,2016,278.446,277.8907470833681
19,2018,279.479,280.97687196801843
20,2021,278.654,277.10207926710433
21,1982,277.148,278.10727215365506
22,1986,278.654,277.8230629458462
23,1987,277.722,278.26862596385723
24,1989,278.142,279.4857525914981
25,1991,277.49,277.99852829367734
26,1992,277.129,277.9550209191435
27,1993,278.56,278.21677280727255
28,1994,279.092,279.7118511703293
29,1999,278.276,278.1619296486285
30,2001,276.811,277.5216601540703
31,2003,277.709,279.22138952208576
32,2004,277.184,277.8047269744324
33,2006,280.048,279.97640003817787
34,2007,277.337,277.385513073275
35,2011,279.548,278.23306548741266
36,2013,279.211,279.18735261349093
37,2014,278.368,278.08033034613857
38,2015,282.582,280.29499403675004
39,2017,278.222,278.4527853414127
40,2019,279.253,277.4878243116222
41,2020,278.822,277.9331416072241
