,pc1,target,phase_label,year_glvar
0,-5.014378572358549,67.597,1,1980
1,-16.565284359364146,27.303,1,1984
2,-3.98609813803146,72.625,1,1988
3,-23.677905975535115,22.764,1,1991
4,-5.713159346710234,65.7,1,1993
5,-23.057576051669578,22.497,1,1995
6,-0.15205430770245135,67.593,1,1998
7,4.674676593219436,99.367,1,1999
8,-16.849197842854185,51.303,1,2000
9,-0.6258179477905849,107.73,1,2001
10,16.18476822724507,101.65,1,2005
11,2.5775749714562,52.895,1,2007
12,-5.929901155059613,114.817,1,2008
13,-13.276287955995292,46.274,1,2009
14,20.993182758800444,146.264,1,2010
15,8.200280681673917,128.736,1,2011
16,13.514899487548679,90.667,1,2012
17,23.891275632598106,123.29,1,2015
18,0.4604172830532718,57.581,1,2016
19,14.287437293231944,76.337,1,2019
20,10.064327610280218,91.375,1,2020
0,-20.39926538282764,37.258,2,1981
1,-2.9059356512186105,88.868,2,1982
2,-6.634437669407473,31.294,2,1983
3,1.3887245176944205,104.175,2,1985
4,0.7897378059354748,85.939,2,1986
5,0.20822244731627998,87.189,2,1987
6,6.971907881834887,58.181,2,1989
7,-4.544974022353407,43.995,2,1990
8,3.6262350759913207,128.278,2,1992
9,2.72629935614188,89.989,2,1994
10,-0.3191422646476933,98.744,2,1996
11,5.955007200641,54.355,2,1997
12,18.748112456954036,146.934,2,2002
13,-7.3382611284822845,22.521,2,2003
14,3.9147093213914492,153.639,2,2004
15,14.749435035126734,192.569,2,2006
16,-19.717344814780763,40.892,2,2013
17,7.284657871218541,126.343,2,2014
18,-12.158627184025404,75.391,2,2017
19,0.653808589523483,94.606,2,2018
20,7.000345779367055,99.275,2,2021
