,pc1
0,0.19842398756877988
1,-6.417086349300641
2,2.038904230751561
3,3.397295138703425
4,10.515856270404651
5,-7.25434761751392
6,11.455408024939926
7,0.9403586767390161
8,-2.42944313326251
9,-5.338521014441609
10,2.355308168760325
11,3.920825640571018
12,3.9791457866335627
13,-6.832841422468166
14,-3.7471741061674346
15,6.2300487107615155
16,-7.260185730379324
17,-2.2162438624758902
18,4.850807747645332
19,-5.108301761015521
20,-3.2796131394013543
21,-3.692989937356232
22,-22.905893322584284
23,22.407499307739837
24,-45.87552827264671
25,0.6623146888160558
26,-8.734926709831049
27,-11.808317176772006
28,0.5463838540496492
29,22.352389029882907
30,-7.551729019871017
31,-0.9753120326551671
32,-19.975889561311178
33,-1.8300630449039923
34,29.667300183310658
35,11.545337439160551
36,30.312704755377627
37,23.978200039785946
38,-4.386277800918024
39,-15.405375929341503
40,-3.2004858294069596
41,4.872585052683627
