,pc1
0,-5.54433885930798
1,-7.129692328146167
2,-0.606418862514391
3,14.029870311423176
4,1.632736462082745
5,-0.6313827030671577
6,8.96383897241881
7,-2.8380362401177797
8,1.8756282978146992
9,-7.042385168112129
10,-10.132175485222358
11,10.115465653715182
12,-2.461631895791824
13,3.516440967878835
14,6.060065426191255
15,8.527406538352924
16,-2.6102430049660255
17,-10.15414270279057
18,3.5754631545247855
19,-9.146616369554305
20,-1.4163125354742188
21,-15.910309599646805
22,9.99990552215382
23,9.539110180260563
24,18.768510324676132
25,-11.738476130765678
26,-12.0458812379651
27,-3.464071974099448
28,-11.337926892477345
29,-20.297789054367367
30,5.9579481726283845
31,20.96077795548875
32,4.486899136768256
33,-14.31368062335246
34,-19.232815997872493
35,30.14969600695848
36,13.797548215296532
37,10.020066945480165
38,-7.2424432046465
39,-6.678966508141408
