,years,data,hindcast
0,1980,72.959,76.60010769069606
1,1981,79.103,76.90755762578237
2,1987,110.221,94.9899527963555
3,1988,43.995,58.844419007928806
4,1992,114.02,84.08933075284891
5,1993,62.847,75.79743665663851
6,1994,50.598,79.87272774887447
7,1998,92.019,68.45107234654043
8,2001,85.69,78.45244440068463
9,2002,88.661,96.13618412466204
10,2003,56.468,75.32054345071528
11,2004,66.664,77.40415092932996
12,2006,79.284,85.42072485726295
13,2010,80.795,51.859286918688
14,2012,62.3,74.84308678796279
15,2014,64.116,75.0355468815499
16,2015,119.425,104.70760942834956
17,2016,75.849,75.31166644880048
18,2017,71.566,73.33925668218228
19,2019,74.313,67.5098944641473
20,1982,70.765,95.30211262348935
21,1983,59.341,64.60234635489388
22,1984,78.441,100.49500929267435
23,1985,73.801,69.81980447269714
24,1986,84.644,103.11982058938268
25,1989,36.577,63.49948141271605
26,1990,88.055,68.21495759084074
27,1991,121.381,95.99703770343827
28,1995,32.26,54.68457661476248
29,1996,130.482,104.7463455662772
30,1997,56.974,91.28188247804837
31,1999,52.177,46.86693967803262
32,2000,131.48,90.88136128721814
33,2005,66.791,54.807113911475454
34,2007,63.658,48.17164282726637
35,2008,87.04,59.32883850397912
36,2009,119.023,95.70733724065893
37,2011,17.077,36.2592136654663
38,2013,95.385,73.06302789825814
39,2018,34.97,83.47315028842421
