,years,data,hindcast
0,1980,41.59,44.84781323928495
1,1981,35.788,21.33201708792424
2,1984,21.79,27.013486162266688
3,1985,78.559,59.04211304672975
4,1987,33.606,42.17639218350396
5,1988,27.742,24.036674565656387
6,1991,46.967,51.291352489853104
7,1993,50.114,38.445445850155615
8,1996,11.86,39.88790095309724
9,1999,65.297,48.28367540055583
10,2001,95.436,69.03507224581989
11,2003,51.564,60.51946798763091
12,2005,77.407,59.2770065049629
13,2006,51.755,63.25574106123073
14,2008,37.054,48.56690076342623
15,2009,23.97,56.53003306277616
16,2010,27.16,4.730479506000158
17,2011,17.259,47.94968412483629
18,2013,31.149,40.0292654270226
19,2018,102.506,82.32247833726636
20,1982,35.431,43.21375184007972
21,1983,105.42,118.22742601159476
22,1986,64.688,44.22415731519664
23,1989,78.439,49.370652201896554
24,1990,64.463,50.334478799004636
25,1992,57.617,88.44759462453146
26,1994,85.773,51.02107276113579
27,1995,42.515,41.78971236475651
28,1997,28.147,40.25861713020367
29,1998,131.575,114.87913782192373
30,2000,76.353,68.54166018535078
31,2002,60.53,52.55305419885521
32,2004,45.281,44.436623864523526
33,2007,1.605,39.84918165615814
34,2012,93.777,75.0570269970504
35,2014,52.13,44.025080718226114
36,2015,27.186,42.952506875767995
37,2016,67.439,72.12865139372832
38,2017,30.591,44.0029685883234
39,2019,32.685,56.33164465169268
