,pc1
0,2.79111069491555
1,5.63173880688779
2,1.3320172860409156
3,6.946259658844418
4,4.35458969672407
5,10.339124870597852
6,-5.925812514976351
7,4.4584401088245125
8,-0.6146406679200974
9,0.4278145470076984
10,-0.6723237544565017
11,1.5042611235584435
12,-6.405843789210834
13,-0.2759589457110853
14,-2.2960758468341855
15,4.450550351113283
16,-5.376414179319405
17,-4.641107159553337
18,-4.937776317117059
19,-11.090200878878571
20,0.1757928931964876
21,-1.3960152781458313
22,-9.523264371408004
23,-5.337438783650501
24,0.33346416694907544
25,2.6457507352602514
26,-5.4440458301185775
27,0.5186136623047028
28,-4.296286173361681
29,-0.8601429981180883
30,1.4022222604583114
31,-10.160049019348765
32,-4.556322964422932
33,-3.7751720665083854
34,-6.3158080948814375
35,-1.105127355075425
36,27.715317526357794
37,3.529515883382598
38,6.823000492568857
39,9.625824516010493
