,years,data,hindcast
0,1980,277.407,276.20740332816246
1,1981,273.282,275.42095074700035
2,1988,280.158,276.6113660196284
3,1992,277.129,275.05701422442087
4,1995,272.852,275.77454057806057
5,1996,274.079,274.1176700026016
6,1997,278.332,278.62075927902345
7,1998,277.971,275.74578868888966
8,2002,276.113,277.1503151929045
9,2003,277.709,276.8617024065033
10,2004,277.184,277.16628525674525
11,2005,277.678,276.56367881621236
12,2006,280.048,278.75366010932544
13,2008,276.001,277.05654821457284
14,2009,275.915,277.61583513581445
15,2010,272.735,275.7479730368832
16,2012,278.178,278.4686535748862
17,2013,279.211,278.26507743579066
18,2014,278.368,278.3472128704623
19,2019,279.253,280.05056508211203
20,1982,277.148,278.4138386163832
21,1983,277.486,278.23646520829925
22,1984,277.972,277.3193317461491
23,1985,278.899,277.7916884647883
24,1986,278.654,278.43163130361586
25,1987,277.722,278.69256527543627
26,1989,278.142,277.7796582084869
27,1990,277.581,278.45252481822854
28,1991,277.49,277.90917912948225
29,1993,278.56,278.2969366413527
30,1994,279.092,278.55223715674686
31,1999,278.276,277.24747268263224
32,2000,278.433,277.8798348286327
33,2001,276.811,277.96798515099204
34,2007,277.337,277.6812826899223
35,2011,279.548,278.2692909584297
36,2015,282.582,281.52158384271326
37,2016,278.446,278.7922952801062
38,2017,278.222,279.1639542396754
39,2018,279.479,279.48024375792676
