,years,data,hindcast
0,1980,41.59,45.534765627520684
1,1981,35.788,66.06151126666714
2,1984,21.79,28.330098954174503
3,1985,78.559,41.7059221908532
4,1987,33.606,27.5021853947048
5,1988,27.742,25.49949162962747
6,1991,46.967,53.062859774249496
7,1993,50.114,44.87939216933208
8,1996,11.86,29.94919347452192
9,1999,65.297,47.060272970980826
10,2001,95.436,72.52212119803639
11,2003,51.564,39.05121628589525
12,2005,77.407,46.77150253432788
13,2006,51.755,52.8431527051862
14,2008,37.054,45.658252827078215
15,2009,23.97,27.544982788711934
16,2010,27.16,57.800509348073106
17,2011,17.259,33.7226224890801
18,2013,31.149,65.86506572055099
19,2018,102.506,77.20788065042773
20,1982,35.431,57.004062503673325
21,1983,105.42,107.01997728802145
22,1986,64.688,62.397754979415886
23,1989,78.439,36.07285967060222
24,1990,64.463,57.22585959123587
25,1992,57.617,84.36736434182455
26,1994,85.773,67.37467958185404
27,1995,42.515,52.21954410250698
28,1997,28.147,32.75706726726942
29,1998,131.575,89.67061845333834
30,2000,76.353,91.45274186063432
31,2002,60.53,56.623345081573405
32,2004,45.281,48.950062370902465
33,2007,1.605,31.197169767231202
34,2012,93.777,60.453413001918
35,2014,52.13,60.01389759533956
36,2015,27.186,36.1533434396504
37,2016,67.439,62.93761742801279
38,2017,30.591,21.773017611111086
39,2019,32.685,65.98060406388468
