,pc1,target,phase_label,year_glvar
0,258.3075243924625,87.79,1,1980
1,91.6980311325668,93.726,1,1982
2,150.4892537689767,126.504,1,1985
3,33.753463328532,81.754,1,1990
4,-373.86942734602303,49.037,1,1993
5,57.481714273578106,51.526,1,1994
6,138.9775210867452,64.76,1,1995
7,-414.6421349278427,28.135,1,1996
8,101.45764540831965,112.482,1,1997
9,314.2962295818781,136.999,1,1998
10,-232.98908280403174,55.748,1,2005
11,-80.18851101492494,34.652,1,2006
12,-316.79068850648684,40.784,1,2008
13,-441.8238515118279,33.738,1,2010
14,194.49599757356037,122.004,1,2012
15,-75.30500441182298,53.205,1,2014
16,126.92861186328665,113.147,1,2016
17,117.41007298943718,63.719,1,2017
18,-96.85234327972397,106.981,1,2019
19,110.2319342537678,67.278,1,2020
20,336.93422256019386,106.484,1,2021
0,97.50822332060906,69.787,2,1981
1,68.79166798229706,40.005,2,1983
2,-14.21385367830062,54.762,2,1984
3,1.6109716381313817,56.932,2,1986
4,-135.53077723252846,96.289,2,1987
5,98.33671802269254,31.234,2,1988
6,-1.7956897404079595,67.167,2,1989
7,-63.343963574738034,100.819,2,1991
8,9.132306197096426,52.1,2,1992
9,-35.96109589898442,86.734,2,1999
10,-13.069988583516146,55.016,2,2000
11,-9.062081616532538,56.749,2,2001
12,56.97655281885401,77.791,2,2002
13,75.1346265808817,47.241,2,2003
14,-36.849985469417696,70.647,2,2004
15,47.699388810561594,100.404,2,2007
16,-49.06731015752558,75.436,2,2009
17,-197.91315572641358,94.747,2,2011
18,-75.03251587549026,63.597,2,2013
19,63.38467702090005,35.568,2,2015
20,113.26794585035803,26.89,2,2018
