,pc1
0,-120.73075882294997
1,-86.01729131457734
2,108.01830373056346
3,-448.0292485676447
4,-164.59019474409646
5,-171.0459151042311
6,-16.49153204972116
7,-220.97307405864214
8,432.2558512572277
9,-238.69077488182552
10,-147.51828012719776
11,64.60689442604524
12,107.2423658653941
13,-259.1555001665922
14,115.15735923541611
15,-89.21582096776847
16,100.99288219578891
17,342.92819942317016
18,308.454117980625
19,382.7965871130204
20,-221.47041716121555
21,-477.0700427280346
22,211.08644787157482
23,-358.4537466900775
24,3.2368813047660665
25,-224.97840278720864
26,-679.9533241234101
27,125.05092140010456
28,-1.015559240109299
29,4.591657425528867
30,26.064293109707773
31,237.1245639747473
32,-279.49509893308476
33,25.86396664185218
34,175.07778662130477
35,440.30252920548503
36,337.06458494625497
37,-51.190343009760724
38,134.563889018579
39,573.5939450560255
