,pc1
0,101.1107599107444
1,131.24876642635212
2,-111.56662581260312
3,197.85878029659554
4,174.71390325117426
5,70.93163438271904
6,166.95517189882577
7,112.43291802681931
8,87.80815680642064
9,-102.71689053518003
10,162.42359338552743
11,-47.7594553671516
12,8.7928147265873
13,-41.80260305601818
14,-13.477054926023465
15,-105.14789994999643
16,-301.69050235298454
17,-334.83453238396726
18,-101.30593221897443
19,-53.96921308951479
20,-346.71748409237676
21,139.7686206688703
22,-636.1084882477928
23,-76.35486864300978
24,-88.11325555794153
25,331.1415573256224
26,-377.82632764864286
27,-267.18341063421445
28,534.4204196319712
29,-209.59676024214906
30,-283.4663450499864
31,-61.7313339769151
32,279.5585438713108
33,-109.92668689189628
34,-16.65999765429424
35,150.42493096921206
36,712.1700179045782
37,25.964585516438124
38,-214.02977786801875
39,514.2627767980084
