,years,data,hindcast
0,1980,282.943,283.6882407001737
1,1981,282.369,284.16769592780685
2,1986,284.738,284.62291959286796
3,1987,284.108,283.32839459087063
4,1988,284.252,284.70648674179836
5,1993,282.413,283.9459826675604
6,1998,283.242,284.1531446272963
7,2000,284.65,283.3091691045258
8,2001,287.358,284.82793366533326
9,2006,286.908,284.3336632314717
10,2008,283.493,284.0761370488183
11,2009,284.115,283.711921264457
12,2010,284.007,284.4387174787971
13,2011,284.836,284.13652085897627
14,2012,283.751,285.12695235857944
15,2014,286.638,284.94458555379543
16,2015,283.443,284.69216049246285
17,2016,283.35,284.41790142138814
18,2017,286.493,286.0783083598968
19,2019,284.784,285.1841643131245
20,1982,284.418,284.0347073450318
21,1983,284.197,284.75640907252136
22,1984,284.946,284.4891929086405
23,1985,283.884,282.76425360707583
24,1989,285.643,285.0525568055477
25,1990,285.161,285.0798986162338
26,1991,283.647,284.0285186449513
27,1992,281.561,282.22673525145166
28,1994,282.913,283.31552632415287
29,1995,286.166,284.5095090841745
30,1996,284.354,284.32210603573395
31,1997,283.261,284.1385889471416
32,1999,284.089,283.1436237514543
33,2002,283.045,284.7670398663655
34,2003,281.324,284.05893980975617
35,2004,284.575,283.5704620536476
36,2005,286.611,285.0582942908728
37,2007,283.55,284.79315495792275
38,2013,285.349,284.9173025449678
39,2018,285.394,285.0611800823568
