,pc1,target,phase_label
0,-448.81173746892824,289.857,1
1,-143.04394075117997,290.118,1
2,-361.35102704691985,291.142,1
3,-177.521462341216,290.621,1
4,-129.3461057101249,288.381,1
5,-245.398052894152,292.137,1
6,-429.7194307331066,293.223,1
7,-6.583040505962444,289.453,1
8,69.23919899433866,289.14,1
9,-185.2156061787076,290.037,1
10,-220.88672824203334,290.27,1
11,-286.7737354745649,291.493,1
12,-296.7987473946239,289.717,1
13,-113.93712010856916,289.628,1
14,-36.86264756860419,291.173,1
15,56.471893535864616,289.208,1
16,-295.77868872272063,291.252,1
17,-93.27831774876019,290.919,1
18,-274.28743301181703,290.324,1
19,-248.34568923702474,291.474,1
0,-1166.5918524996289,289.6,2
1,-933.6746830671706,290.769,2
2,-921.9732779031225,290.615,2
3,-1193.6682610923356,288.736,2
4,-1363.5812949445567,288.362,2
5,-1195.908284921934,288.999,2
6,-628.8755527876747,289.369,2
7,-834.8325422710399,290.066,2
8,-640.3254966039082,290.536,2
9,-801.4864395363923,290.51,2
10,-817.9715767699556,290.269,2
11,-831.6868872143081,290.354,2
12,-914.6497531057579,290.298,2
13,-859.7881425250125,291.262,2
14,-301.34172318563617,291.529,2
15,-599.320524339962,291.843,2
16,-461.80061171964564,291.539,2
17,-1075.5880777590667,289.426,2
18,-260.70886102487805,290.902,2
19,-258.7426305865616,291.362,2
