,years,data,hindcast
0,1980,41.59,51.5424744870267
1,1981,35.788,49.5069587687176
2,1982,35.431,46.07371344054074
3,1985,78.559,32.946854142881655
4,1986,64.688,42.712395719131045
5,1987,33.606,64.6133706423636
6,1988,27.742,26.07490642373017
7,1996,11.86,31.204326550703524
8,1998,131.575,111.68502375554795
9,1999,65.297,64.24121150164214
10,2001,95.436,58.059774009356175
11,2003,51.564,22.284454963357707
12,2004,45.281,38.71071672964372
13,2005,77.407,59.48837705100292
14,2006,51.755,57.81749568422276
15,2007,1.605,24.613179305506506
16,2009,23.97,38.089644243915885
17,2010,27.16,67.78942870998884
18,2011,17.259,32.09117867025331
19,2013,31.149,29.1765152004669
20,1983,105.42,78.76673551161906
21,1984,21.79,54.570753827356334
22,1989,78.439,54.88605943813943
23,1990,64.463,51.33718935785661
24,1991,46.967,45.91231420142128
25,1992,57.617,60.42840703930135
26,1993,50.114,59.48943474660161
27,1994,85.773,59.47433616856318
28,1995,42.515,50.33508746677574
29,1997,28.147,56.531630182267044
30,2000,76.353,75.39495539731688
31,2002,60.53,56.96492459768294
32,2008,37.054,53.48826970511408
33,2012,93.777,91.26928927528515
34,2014,52.13,39.27835711861735
35,2015,27.186,13.993046714325978
36,2016,67.439,72.61267245418506
37,2017,30.591,36.046689381035364
38,2018,102.506,79.67168151606305
39,2019,32.685,71.0441659004726
