,years,data,hindcast
0,1981,1.535,2.2326509263314627
1,1982,0.673,0.7493597437138
2,1983,1.532,1.8750826955916686
3,1984,2.112,3.067531724641629
4,1989,2.137,1.7498849477317506
5,1992,1.133,1.0407573265878476
6,1993,0.883,2.0699364967959077
7,1994,1.304,1.8897971603537265
8,1995,2.792,3.1200466842973817
9,2000,3.403,2.9386188197849243
10,2002,3.975,2.733304038123414
11,2003,0.834,2.075018274539385
12,2004,2.24,1.8087926338825895
13,2005,1.788,2.384436249224052
14,2007,3.172,1.580253025286531
15,2011,1.937,1.5566081923261734
16,2015,1.959,2.1715462481864165
17,2016,2.507,2.3918453700217093
18,2019,1.923,1.646144706290734
19,2020,4.53,3.287384736288935
20,1980,2.088,0.9662276723509962
21,1985,0.348,0.7303707941390414
22,1986,0.193,0.6862865307001726
23,1987,1.283,1.5635525703085023
24,1988,3.024,2.9679549251717106
25,1990,3.442,3.1263355517779203
26,1991,1.038,2.0465776982464803
27,1996,2.071,2.6705379803959914
28,1997,3.022,1.9665083256052966
29,1998,0.74,2.1352993473570194
30,1999,2.005,2.38947263950989
31,2001,2.988,2.656607763151335
32,2006,2.068,1.9841725761512166
33,2008,1.377,1.7500803825839384
34,2009,2.215,1.320142225383016
35,2010,3.272,2.083221591767604
36,2012,0.868,1.616239721098978
37,2013,1.518,1.4106412503235504
38,2014,2.922,2.3752342825863337
39,2017,2.428,2.3843950170785178
40,2018,1.035,1.1151411543126883
