,years,data,hindcast
0,1980,73.573,54.79336418179169
1,1981,63.801,63.796671284103354
2,1983,63.898,44.28008000088989
3,1988,61.158,68.31547461044653
4,1990,71.359,98.3972901991058
5,1992,59.721,63.73678926124247
6,1994,112.219,96.17194656630677
7,1995,40.513,60.895377668216184
8,1998,78.078,65.8446338716893
9,1999,142.156,83.29162768084515
10,2001,73.461,55.11641444567381
11,2004,54.078,71.54327701508433
12,2006,99.225,80.91408463381892
13,2007,75.825,55.831070303491515
14,2008,32.104,59.37157519551321
15,2010,51.992,72.54349094390658
16,2013,74.252,81.62770214863437
17,2015,54.183,86.86450817150094
18,2016,19.912,63.83189920090054
19,2017,122.767,97.10772261683877
20,1982,83.43,92.19783750098544
21,1984,57.754,91.04604415341142
22,1985,100.249,78.71006527610868
23,1986,125.43,101.41942740402837
24,1987,47.004,80.96449083874892
25,1989,99.994,83.91560288996749
26,1991,44.356,81.7057150441303
27,1993,142.547,126.67986549870866
28,1996,45.022,66.50038347304087
29,1997,77.391,80.71297366207018
30,2000,86.35,74.65778817013839
31,2002,93.864,76.62736465602265
32,2003,90.195,98.68498139091504
33,2005,50.89,88.24965722250164
34,2009,98.371,71.03708811793642
35,2011,135.773,115.909274936619
36,2012,126.017,81.50434678708872
37,2014,89.714,98.1069400893732
38,2018,89.451,110.51778656322348
39,2019,84.951,69.60536632498103
