,pc1
0,-19.647593360751678
1,12.263372208711584
2,-11.133094316641152
3,-21.38825031443426
4,-13.966798826359128
5,5.467867764791701
6,8.945251652375207
7,-14.837581708975899
8,9.511506725853996
9,-18.942900841386614
10,-3.3624444793055748
11,3.5510554829411696
12,13.26992285847818
13,-10.634694741817887
14,16.499951060231613
15,14.331974059790562
16,16.014063607755702
17,-1.0458648087066766
18,7.2821786767253505
19,7.822573660619318
20,-0.24668911474331057
21,-20.826272746128257
22,11.94598148839314
23,30.750898879899978
24,6.9096531748521315
25,6.15711456344555
26,-14.043739994955175
27,-39.891087840180035
28,9.697125142351336
29,-7.578054959771491
30,0.061258679376088726
31,-4.582083088045798
32,6.645811111074475
33,-2.3701706928922652
34,0.3110846933984388
35,11.698609031440665
36,-10.02701990855015
37,2.697582196233873
38,5.770086994205682
39,6.919927300629635
