,years,data,hindcast
0,1980,278.43,280.119674045564
1,1981,280.548,280.8884583190813
2,1983,280.043,278.5304352114219
3,1985,276.482,277.87959959148395
4,1986,281.399,281.12290722413405
5,1987,280.287,280.0777377149042
6,1988,279.768,280.09779141539815
7,1991,279.096,280.90508108619787
8,1994,283.18,280.24581557019286
9,1997,279.988,280.8534834067176
10,1998,277.399,279.08980097397864
11,2003,281.185,281.36726083058727
12,2007,280.527,278.8506952233664
13,2009,282.63,281.53576779130776
14,2011,280.865,280.63340748568925
15,2012,280.219,280.237400648696
16,2016,279.21,279.87508864033657
17,2017,280.834,279.85328229693914
18,2018,280.069,279.9378697608231
19,2019,279.808,279.8654427631805
20,1982,281.542,281.94369422334177
21,1984,281.547,280.7519272497891
22,1989,279.225,280.45992658099885
23,1990,279.704,279.7462225311646
24,1992,281.242,281.2320257218416
25,1993,275.969,279.51369091183915
26,1995,280.449,279.6692288207115
27,1996,279.45,280.7463268173469
28,1999,280.361,279.0594407130331
29,2000,281.026,280.9807198027932
30,2001,281.038,281.1335902728891
31,2002,281.246,281.5930093027501
32,2004,280.022,280.6460049879547
33,2005,280.714,280.0625056990164
34,2006,282.748,281.52798305525687
35,2008,280.383,279.46460152990534
36,2010,279.101,278.5537208579769
37,2013,280.357,280.4980532769749
38,2014,281.428,280.5386676816987
39,2015,283.104,282.53465996271717
