,years,data,hindcast
0,1980,42.647,99.02733944983108
1,1981,61.647,35.116478772936
2,1982,59.112,77.38421311154148
3,1983,117.24,103.67023551786522
4,1987,66.991,70.64781219338988
5,1990,93.283,113.80650916065348
6,1991,69.854,96.59307191068112
7,1993,149.343,97.10476846003654
8,1994,147.073,144.59386692578246
9,1998,154.753,81.78433850874475
10,2001,144.184,117.58329889390787
11,2003,46.909,78.0037650057904
12,2004,68.272,71.1152843215103
13,2009,40.197,64.044631080076
14,2012,79.252,78.29802635898895
15,2013,81.322,74.9558374973601
16,2015,98.359,115.53758818646105
17,2016,28.704,47.71629469470474
18,2017,131.717,99.22448869022286
19,2019,112.171,120.223926427058
20,2020,61.863,68.46122483245796
21,1984,147.559,109.42730471126956
22,1985,48.916,61.083994767159
23,1986,48.164,55.08340325249238
24,1988,99.143,86.93387215939751
25,1989,52.76,62.655486972442354
26,1992,66.034,29.42644461805486
27,1995,112.688,104.5150880826063
28,1996,48.278,59.751432181709504
29,1997,29.832,36.49903686722642
30,1999,83.683,74.58448763545013
31,2000,85.15,82.55249288365441
32,2002,57.527,46.14905221352777
33,2005,79.997,60.16941389348601
34,2006,31.076,63.93687505393669
35,2007,74.653,88.19852986045898
36,2008,79.746,99.78825942157846
37,2010,93.053,77.87277175354025
38,2011,68.379,92.72560092622098
39,2014,25.215,40.54452921747024
40,2018,68.288,48.124292877445576
41,2021,33.612,53.730630650872754
