,years,data,hindcast
0,1981,280.887,281.21634797941675
1,1983,281.012,280.6864701992802
2,1989,279.764,281.7045115344227
3,1990,281.554,281.0179404623792
4,1993,283.39,281.36402379321027
5,1995,281.704,281.9651348757135
6,1997,280.565,280.7469477636097
7,1998,281.883,282.27429341630744
8,1999,282.477,282.38162102441413
9,2000,282.301,281.9004635341578
10,2002,282.097,282.8525632939021
11,2005,282.719,283.3188852153015
12,2007,285.113,283.6344826044013
13,2008,281.561,282.2484652344487
14,2011,285.153,285.43296415945616
15,2015,281.463,281.39206041840083
16,2016,281.366,281.5386112383976
17,2017,281.415,282.3124378525168
18,2018,284.252,283.2276033476843
19,2019,283.321,282.78117205257956
20,1980,280.636,281.1865417525321
21,1982,280.365,280.3531176059062
22,1984,280.48,280.63223989035293
23,1985,281.02,280.3240093660327
24,1986,278.836,279.70016859831526
25,1987,282.799,281.48358162707495
26,1988,281.178,282.55035585732224
27,1991,281.061,281.5666882155311
28,1992,281.38,281.0568445188178
29,1994,281.155,280.3961269624056
30,1996,281.506,280.99805001735433
31,2001,281.007,280.9362312318077
32,2003,282.527,282.38968480505974
33,2004,283.034,282.7113025985375
34,2006,281.341,281.08870238794333
35,2009,284.289,283.23546901012327
36,2010,281.973,282.96406238360544
37,2012,281.008,281.4787955490095
38,2013,280.442,282.14489958541947
39,2014,284.424,283.26412803684735
