,pc1
0,0.17636716535621244
1,0.2674740784848694
2,2.542219131681636
3,0.28428302369715513
4,-2.1650549616048633
5,-7.069969201482867
6,3.505955872986417
7,-3.4743101578225364
8,-4.991764899743072
9,-3.8667141138826517
10,0.6533066443862442
11,0.329950662280705
12,0.02216601559496916
13,3.9206449261400405
14,1.0613862283024422
15,-3.6523657610905222
16,-1.0402998548361084
17,2.3544465223811826
18,9.432354835797446
19,1.7088171192343287
20,1.919291535252371
21,0.4828595521166946
22,-0.7723432044147189
23,-0.1483927170222478
24,3.6511107597171124
25,-1.0036396634698084
26,1.1127704974281902
27,-0.8621305749468563
28,0.49261080351522724
29,-1.5363975807356978
30,-1.1529251138480268
31,0.5871664791114583
32,-0.7499633120680503
33,0.907804878299169
34,-0.6577682842345262
35,-0.6601431808286292
36,-0.6976576229474487
37,0.534491185979936
38,-1.475578752246704
39,0.028166919133041837
