,years,data,hindcast
0,1981,54.994,59.09639413977325
1,1982,32.713,63.11611766012658
2,1987,134.54,78.29660096366072
3,1991,86.473,60.564781868468344
4,1994,21.875,33.17601937567978
5,1997,69.497,86.89318975950216
6,1998,77.728,81.5043613141731
7,1999,54.398,80.19494041523009
8,2000,102.948,96.35550593330724
9,2001,87.775,85.44090631071047
10,2003,76.224,88.51419295357674
11,2004,104.082,87.17525507058274
12,2005,109.448,86.69884313013928
13,2010,68.74,119.66316271713073
14,2011,163.954,153.17333229951583
15,2012,133.298,107.54436402288528
16,2013,58.307,60.69088369255016
17,2014,91.657,92.94407365764494
18,2015,95.021,101.31781983842387
19,2017,125.55,126.86125487691851
20,1980,142.421,101.77897936089937
21,1983,22.256,68.03032910652227
22,1984,95.445,111.2435387880536
23,1985,100.845,100.53520540167284
24,1986,53.76,59.01943862938466
25,1988,151.791,111.87162611962367
26,1989,59.596,80.03764073452422
27,1990,43.238,59.40314768253187
28,1992,62.719,56.862455778824646
29,1993,138.492,75.23633127770896
30,1995,45.937,83.95220762171542
31,1996,59.759,56.41060474159178
32,2002,94.124,82.8073763582126
33,2006,25.725,86.93937164175979
34,2007,166.442,125.36146871196999
35,2008,105.991,143.99567077220905
36,2009,103.684,87.00560686462026
37,2016,56.599,33.46840851786132
38,2018,19.792,43.61379851102762
39,2019,49.361,30.4037933792861
