,pc1
0,-25.05858287902728
1,-25.66902845610944
2,117.31632171171245
3,-56.82276158282372
4,-152.2181329689741
5,282.77184216485625
6,127.82593848564441
7,0.7061370556468907
8,56.15609338772386
9,28.510772519879083
10,-232.39657649890694
11,-111.00188928317127
12,-45.97440659180429
13,245.41805652380467
14,-173.07021569080092
15,-103.39229854199597
16,-71.00950068303402
17,-253.69844605717626
18,452.1292415263421
19,-60.53277384486453
20,269.8486903137412
21,52.03247437321659
22,337.5881379293204
23,-98.03103676697114
24,219.71878645923513
25,-420.951626513261
26,54.38436215091636
27,94.28592190325196
28,-84.82376816045898
29,357.1493401540653
30,-277.9146681340643
31,-18.494623623824925
32,115.26872878718694
33,84.35098384926401
34,44.352341164378146
35,-53.75728713540844
36,-133.90447615222652
37,-303.67834538919936
38,-353.83244598910295
39,116.40300009304232
