,pc1
0,-195.50245905102886
1,-15.232307278487433
2,-405.8801694953367
3,350.49998439159816
4,-198.4709399939594
5,-574.351365038063
6,-38.59757306628191
7,-316.46200569778233
8,-176.0984394797698
9,-176.42064334811843
10,177.27478219911686
11,378.72685364410336
12,298.29986213063
13,342.92892465614705
14,145.1256305273445
15,55.76333622350505
16,-331.38630800769715
17,253.47423121805102
18,545.7398276795303
19,-119.43046917243548
20,-347.6592411300778
21,80.86667944204197
22,172.59725260392588
23,302.31719696007525
24,38.82944127952042
25,-466.74568804623266
26,25.287348716825488
27,-177.39386653472548
28,-526.9498684400409
29,262.35619971017786
30,-107.63443538782913
31,-43.75373643225682
32,153.5294316936335
33,-110.00800013194485
34,146.35362393143947
35,-79.54037727847606
36,-148.9122871518538
37,278.2306803176519
38,334.6043765871334
39,213.63035178332163
