,years,data,hindcast
0,1984,27.303,28.141422647571368
1,1986,85.939,109.87820196539388
2,1987,87.189,84.35418376489314
3,1990,43.995,48.72382912280504
4,1991,22.764,79.04437128459806
5,1992,128.278,72.80447658428828
6,1993,65.7,50.6334104856784
7,1995,22.497,45.62442961294421
8,1996,98.744,99.03882260568936
9,1998,67.593,72.63037176570448
10,1999,99.367,109.06386814339116
11,2004,153.639,99.97710360541272
12,2006,192.569,93.26815713208569
13,2007,52.895,88.10769542690048
14,2009,46.274,66.25427920226704
15,2012,90.667,70.51851977311784
16,2013,40.892,45.581315461631306
17,2015,123.29,119.2966870423817
18,2016,57.581,110.48237650473637
19,2019,76.337,90.08947786850914
20,1980,67.597,78.24674723892694
21,1981,37.258,91.8602134890823
22,1982,88.868,56.06229295302286
23,1983,31.294,40.264166746561756
24,1985,104.175,55.364083079309594
25,1988,72.625,81.56513290508084
26,1989,58.181,67.18357964244173
27,1994,89.989,86.9360165761546
28,1997,54.355,68.56858296277994
29,2000,51.303,65.12555080203413
30,2001,107.73,111.24398892095842
31,2002,146.934,135.67319220527943
32,2003,22.521,74.27368753163037
33,2005,101.65,94.75730368475203
34,2008,114.817,79.22768308070198
35,2010,146.264,145.23827203026073
36,2011,128.736,98.63002123894655
37,2014,126.343,100.62791616700206
38,2017,75.391,93.8118578682395
39,2018,94.606,95.9767108768344
