,pc1,target,phase_label
0,994.1643822973538,286.963,1
1,769.7657696946005,288.824,1
2,1242.332002519952,288.071,1
3,1224.8659898809037,287.653,1
4,232.96323247396037,285.445,1
5,886.7044300926884,287.092,1
6,942.1904491886636,288.236,1
7,1526.8426997631675,288.429,1
8,1309.0575556967551,287.617,1
9,1133.4850495132,288.992,1
10,1066.41935201399,288.786,1
11,1506.918565201112,289.67,1
12,990.4046162030105,288.751,1
13,807.7445343822644,288.57,1
14,1415.7355205293893,288.613,1
15,955.2767502967079,287.481,1
16,987.1160474508218,287.47,1
17,1215.4026284587694,288.605,1
18,624.5046487478915,288.026,1
19,1614.0596129916828,290.512,1
0,-4683.380758707932,287.384,2
1,-3558.2108910842935,288.432,2
2,-4795.196186081079,286.033,2
3,-4610.367061220439,286.165,2
4,-3970.357737633308,288.436,2
5,-4413.414197663251,286.231,2
6,-4153.6090802212,287.197,2
7,-3220.1843772790903,289.512,2
8,-3758.5714723922656,288.312,2
9,-3499.127912077879,287.733,2
10,-3624.713070585258,287.712,2
11,-2475.402975886245,288.371,2
12,-4435.761848687375,287.621,2
13,-2483.365008438526,289.009,2
14,-2958.9529848210295,290.192,2
15,-3205.3100266597794,288.265,2
16,-3174.958374182517,288.158,2
17,-2227.4859389913654,289.06,2
18,-2470.1775053566303,289.498,2
19,-2212.9575708840393,290.286,2
