,years,data,hindcast
0,1981,286.963,288.0221841644895
1,1982,288.824,287.53935602817313
2,1989,288.071,288.55615497730486
3,1990,287.653,288.51857416415464
4,1991,285.445,286.38434278807375
5,1995,287.092,287.7909675457688
6,1997,288.236,287.9103542517782
7,2000,288.429,289.1683235113197
8,2001,287.617,288.69972526997
9,2005,288.992,288.3219540129834
10,2006,288.786,288.17765184748106
11,2007,289.67,289.1254536706967
12,2008,288.751,288.01409444933813
13,2010,288.57,287.62107318302117
14,2011,288.613,288.9292593225594
15,2012,287.481,287.93851144179814
16,2013,287.47,288.007018587757
17,2014,288.605,288.49821228621903
18,2015,288.026,287.2268043796027
19,2017,290.512,289.3559841175104
20,1980,287.384,286.75493579198115
21,1983,288.432,288.10632243667465
22,1984,286.033,286.62063973627363
23,1985,286.165,286.84262898258595
24,1986,288.436,287.6113129629005
25,1987,286.231,287.07917946007734
26,1988,287.197,287.3912187139153
27,1992,289.512,288.51230959421684
28,1993,288.312,287.8656791156137
29,1994,287.733,288.1772841208216
30,1996,287.712,288.0264499127059
31,1998,288.371,289.40683020663255
32,1999,287.621,287.0523387865015
33,2002,289.009,289.3972673977044
34,2003,290.192,288.82606187740595
35,2004,288.265,288.5301744512076
36,2009,288.158,288.5666283405113
37,2016,289.06,289.70459126679964
38,2018,289.498,289.4131062643987
39,2019,290.286,289.72204058107155
