,pc1,target,phase_label
0,-46.57968318124898,54.994,1
1,-67.42547387966707,32.713,1
2,63.76412641873094,134.54,1
3,-18.77510347403271,86.473,1
4,-40.32155674511561,21.875,1
5,-178.6819240680077,69.497,1
6,-1.329363228451219,77.728,1
7,38.15309947172759,54.398,1
8,-8.06928696559475,102.948,1
9,34.655338746142014,87.775,1
10,9.751731935496379,76.224,1
11,-10.713069322452077,104.082,1
12,57.33695728465863,109.448,1
13,-59.88366970848714,68.74,1
14,50.786738942391395,163.954,1
15,30.291203853479317,133.298,1
16,55.15866150582954,58.307,1
17,49.222184708341054,91.657,1
18,-5.165141559031408,95.021,1
19,47.82049574214341,125.55,1
0,313.1517990038531,142.421,2
1,-127.51365103005963,22.256,2
2,145.5590572758879,95.445,2
3,158.9459008027182,100.845,2
4,-97.47016822452021,53.76,2
5,120.49333412518058,151.791,2
6,-261.8501876365562,59.596,2
7,173.2086605076191,43.238,2
8,149.26217419193702,62.719,2
9,273.88404376351974,138.492,2
10,12.094364762796857,45.937,2
11,-38.55479514815301,59.759,2
12,-45.30337530583332,94.124,2
13,-45.671806823950135,25.725,2
14,217.15488122771774,166.442,2
15,111.46731049240371,105.991,2
16,-59.84312250742583,103.684,2
17,-144.79630000340293,56.599,2
18,-443.60630677960586,19.792,2
19,-410.6161354652396,49.361,2
