,years,data,hindcast
0,1982,88.868,93.73490752834786
1,1986,85.939,98.46666876830187
2,1987,87.189,79.90832779829735
3,1989,58.181,96.92357503822802
4,1991,22.764,63.28112991630094
5,1994,89.989,102.90566043477101
6,1996,98.744,112.59140364674404
7,1998,67.593,67.2195333007942
8,1999,99.367,98.97388075481031
9,2001,107.73,112.68937763809362
10,2003,22.521,88.35887195753564
11,2004,153.639,110.30831223606549
12,2005,101.65,95.34277924638644
13,2006,192.569,90.2359274179099
14,2009,46.274,73.13305107943333
15,2012,90.667,98.21076502166486
16,2015,123.29,73.49759277402904
17,2016,57.581,64.54625431464203
18,2017,75.391,55.132097225361576
19,2019,76.337,70.82288390228257
20,1980,67.597,83.02119078301303
21,1981,37.258,50.827782258252
22,1983,31.294,30.269565049037908
23,1984,27.303,44.97638287972494
24,1985,104.175,54.524822640482924
25,1988,72.625,34.2445532318504
26,1990,43.995,69.53737557893656
27,1992,128.278,106.26647345222325
28,1993,65.7,57.162032242943845
29,1995,22.497,40.281011824254755
30,1997,54.355,56.70569813080246
31,2000,51.303,86.93817597279806
32,2002,146.934,132.3975550218395
33,2007,52.895,54.04910975224064
34,2008,114.817,99.43629934790633
35,2010,146.264,126.9454733888806
36,2011,128.736,100.93643985230965
37,2013,40.892,87.25296492325975
38,2014,126.343,112.22049163345821
39,2018,94.606,129.87360203578504
