,years,data,hindcast
0,1979,149.787,124.47589081853346
1,1981,66.63466666666666,77.36319630602168
2,1982,32.63033333333333,41.27824973628711
3,1984,66.83166666666666,99.83335172746092
4,1985,104.53433333333334,95.63863146536232
5,1986,66.80866666666667,51.85815903749318
6,1989,49.736333333333334,35.70434818604974
7,1990,36.43,28.25171672501355
8,1996,49.38933333333333,62.61692328748785
9,1997,28.74966666666667,34.51153271029014
10,1980,55.199666666666666,56.04904985067764
11,1983,43.625,40.561309367742545
12,1987,59.966,51.35589949543098
13,1988,80.10166666666667,78.0673093946433
14,1991,62.04633333333334,76.09489617641842
15,1992,50.681999999999995,46.77021382189883
16,1993,16.122666666666664,36.00181638995681
17,1994,85.57766666666667,80.15842999939912
18,1995,53.546,42.04134730227795
19,1998,26.08,25.846728201554363
